jn	abs	pmid
271. Int Immunol. 2004 Jul;16(7):947-59. Epub 2004 Jun 1.	 CRTH2 is a prominent effector in contact hypersensitivity-induced neutrophil inflammation.  Takeshita K(1), Yamasaki T, Nagao K, Sugimoto H, Shichijo M, Gantner F, Bacon KB.  Author information:  (1)Bayer Yakuhin, Ltd., Research Center Kyoto, Respiratory Disease Research, 6-5-1-3, Kunimidai, Kizu-cho, Soraku-gun, 619-0216 Kyoto, Japan.  Chemoattractant receptor-homologous molecule expressed on Th2 lymphocytes, CRTH2, is a cognate receptor for prostaglandin (PG) D(2) and, in humans, is suggested to play a functional role in Th2-dependent allergic inflammation. While peripheral blood leukocytes expressing high levels of surface CRTH2 have been detected in disease, little is known of the functional significance of CRTH2 in disease etiology. We have utilized a Th2-dependent murine model of FITC-induced contact hypersensitivity to assess the role, if any, CRTH2-PGD(2) may play in the elicitation or maintenance of such pathobiology. Expression of both PGD(2) and CRTH2 in lesional skin was paralleled by the release of the chemoattractants LTB(4) and the chemokine KC, as well as a profuse dermal neutrophilic and eosinophilic infiltrate, closely paralleling the acute inflammatory pathology observed in human atopic dermatitis. A small molecule CRTH2 antagonist, but not a selective PGD(2)R (DP) receptor antagonist, was able to completely abrogate these responses. Inflammatory cascades mediated by CRTH2 ligation may therefore represent an important early step in the elicitation and maintenance of Th2-dependent skin inflammation.  DOI: 10.1093/intimm/dxh096 	15173122
272. FEBS Lett. 2004 May 21;566(1-3):195-200.	 Staphylococcus aureus peptidoglycan stimulates granulocyte macrophage colony-stimulating factor production from human epidermal keratinocytes via mitogen-activated protein kinases.  Matsubara M(1), Harada D, Manabe H, Hasegawa K.  Author information:  (1)Pharmaceutical Research Institute, Kyowa Hakko Kogyo Co., Ltd., 1188 Shimotogari, Nagaizumi-cho, Sunto-gun, Shizuoka 411-8731, Japan. masahiro.matsubara@kyowa.co.jp  Epidermal keratinocytes with atopic dermatitis (AD) overproduce mediators such as granulocyte macrophage colony-stimulating factor (GM-CSF), which are associated with pathology of AD. We found that peptidoglycan (PGN) of Staphylococcus aureus, which is frequently observed in lesion with AD, induced the production of numerous mediators such as GM-CSF and regulated on activation, normal T-cell expressed and secreted. Moreover, PGN phosphorylated extracellular-signal-regulated kinases and p38 mitogen-activated protein kinase,  which were involved in the induction of GM-CSF expression. These results suggested that PGN of S. aureus directly exacerbates inflammation of inflammatory skin disease.  DOI: 10.1016/j.febslet.2004.04.028 	15147894
273. J Invest Dermatol. 2004 Apr;122(4):863-72.	 Histamine enhances the production of granulocyte-macrophage colony-stimulating factor via protein kinase Calpha and extracellular signal-regulated kinase in human keratinocytes.  Kanda N(1), Watanabe S.  Author information:  (1)Department of Dermatology, Teikyo University, School of Medicine, Tokyo, Japan. nmk@med.teikyo-u.ac.jp  The production of granulocyte-macrophage colony-stimulating factor (GM-CSF) in keratinocytes is related to the chronicity of atopic dermatitis. Mast cell-derived histamine contributes to the cross-talk between mast cells and keratinocytes. We examined the effects of histamine on GM-CSF production in human keratinocytes. Histamine increased GM-CSF secretion, mRNA stability and promoter  activity. Activator protein-1 (AP-1) and nuclear factor-kappaB (NF-kappaB) elements on the promoter were responsible for the activation by histamine. Histamine enhanced transcriptional activity and DNA binding of AP-1 and NF-kappaB. Histamine shifted AP-1 composition form c-Jun homodimers to c-Fos/c-Jun heterodimers, and transiently expressed c-Fos protein. Histamine rapidly induced the phosphorylation and degradation of inhibitory kappaB. Histamine induced membrane translocation of protein kinase Calpha. Histamine-induced GM-CSF production was completely abolished by H1 antagonist pyrilamine and conventional protein kinase C inhibitor Gö6976, and partially suppressed by PD98059 which inhibits the activation of extracellular signal-regulated kinase. Gö6976 and PD98059 suppressed histamine-induced c-Fos expression and AP-1 activation. Gö6976 and PD98059 suppressed histamine-induced enhancement of NF-kappaB transcriptional activity. Histamine-induced phosphorylation and degradation of inhibitory kappaB was suppressed by Gö6976, but not by PD98059. These results suggest that histamine may enhance GM-CSF production at transcriptional and posttranscriptional levels via H1 receptor, protein kinase Calpha and extracellular signal-regulated kinase.  DOI: 10.1111/j.0022-202X.2004.22432.x 	15102074
274. Exp Dermatol. 2004 Apr;13(4):265-71.	 Thymus- and activation-regulated chemokine (TARC/CCL17) induces a Th2-dominated inflammatory reaction on intradermal injection in mice.  Vestergaard C(1), Deleuran M, Gesser B, Larsen CG.  Author information:  (1)Department of Dermatology, Marselisborg Research Center, Research Laboratory D, Aarhus, Denmark. chr-vest@post9.tele.dk  TARC/CCL17 (thymus- and activation-regulated chemokine) is a CC chemokine, which  binds to the CC chemokine receptor-4 (CCR4) known to be distinctively expressed on Th2 lymphocytes. In atopic dermatitis (AD), the skin is invaded by Th2 lymphocytes in the acute phase. TARC/CCL17 is produced by the keratinocytes in AD lesions, and CCR4 is overexpressed on CLA+ (cutaneous lymphocyte-associated antigen) lymphocytes in the skin and blood. We, therefore, hypothesized that TARC/CCL17 is pivotal in mediating a Th2-dominated inflammation in the skin. To examine this, we injected BALB/c mice with murine TARC/CCL17 in concentrations ranging from 0.1 microg/ml to 10 microg/ml and examined the skin after 48 h. This revealed that TARC/CCL17 induces lymphocytic infiltration of the skin by CD4+ lymphocytes in a dose-dependent manner with a maximum response at 1 microg/ml. Additionally, TARC/CCL17 induced interleukin-4 mRNA but not interferon-gamma mRNA expression in the skin, suggesting that the lymphocytes invading the skin are Th2 cells. Additionally, TARC/CCL17 induced its own production in the keratinocytes along with cutaneous T-cell-attracting chemokine (CTACK/CCL27) mRNA. We, therefore, conclude that TARC/CCL17 induces a Th2-dominated inflammatory reaction when injected into the skin.  DOI: 10.1111/j.0906-6705.2004.00149.x 	15086343
275. Hautarzt. 2004 May;55(5):453-9.	 [The extraneuronal cholinergic system of the skin. Basic facts and clinical relevance].  [Article in German]  Kurzen H(1).  Author information:  (1)Klinik für Dermatologie, Venerologie und Allergologie des Universitätsklinikums Mannheim. Hjalmar.Kurzen@haut.ma.uni-heidelberg.de  Acetylcholine (ACh) is a prototypical neurotransmitter that has recently been recognized to occur extraneuronally in a large variety of cells. ACh and its nicotinic and muscarinic receptors are produced in the epidermis and in the adnexal structures of the skin in a highly complicated pattern. They are also produced in melanocytes, fibroblasts, endothelial cells and immune cells. Through autocrine, paracrine and endocrine mechanisms, the cholinergic system is involved in the basic functions of the skin, such as keratinocyte differentiation, epidermal barrier formation, sweating, sebum production, blood circulation, angiogenesis and a variety of immune reactions. Hence diseases like acne vulgaris, vitiligo, psoriasis, pemphigus vulgaris and atopic dermatitis may be influenced. The exploration of the extraneuronal cholinergic system of the skin has only just begun.  DOI: 10.1007/s00105-004-0724-5 	15067414
276. Pigment Cell Res. 2004 Apr;17(2):96-110.	 Autocrine and paracrine regulation of melanocytes in human skin and in pigmentary disorders.  Imokawa G(1).  Author information:  (1)Kao Biological Science Laboratories, Akabane Ichikai, Haga, Tochigi, Japan. imokawag@dream.ocn.ne.jp  Recently melanogenic paracrine or autocrine cytokine networks have been discovered in vitro between melanocytes and other types of skin cells. These include endothelin (ET)-1, granulocyte macrophage colony stimulating factor, membrane-type stem cell factor (SCF) and growth-related oncogene-alpha for interactions between keratinocytes and melanocytes, and hepatocyte growth factor  and soluble type SCF for interactions between fibroblasts and melanocytes. These  networks are also associated with corresponding receptors expressed on melanocytes, including ET B receptor and the SCF receptor, c-KIT. Consistent with in vitro findings on the melanogenic paracrine or autocrine cytokine networks, we have found that the up- or down-regulation of such networks is intrinsically involved in vivo in the stimulation of melanocyte functions in several epidermal  hyper- or hypo-pigmentary disorders. These are ET-1/ET B receptor as well as membrane type SCF/c-KIT for ultraviolet B-melanosis, granulocyte macrophage colony stimulating factor for ultraviolet A-melanosis, ET-1/ET B receptor as well as membrane type SCF for lentigo senilis, growth related oncogene-alpha for Riehl's melanosis, sphingosylphosphorylcholine for hyperpigmentation in atopic dermatitis, ET-1 for seborrhoeic keratosis, soluble type SCF as well as hepatocyte growth factor for dermatofibroma and café-au-lait macules, and c-KIT for vitiligo vulgaris. These unveiled regulatory mechanisms involved in the abnormal up- or down-regulated levels of lesional melanocyte function provide new insights into therapeutic tools utilizing blockage of responsible cytokine networks.  DOI: 10.1111/j.1600-0749.2003.00126.x 	15016298
277. Arch Dermatol Res. 2004 Apr;295(11):474-81. Epub 2004 Feb 12.	 Malassezia furfur induces the expression of beta-defensin-2 in human keratinocytes in a protein kinase C-dependent manner.  Donnarumma G(1), Paoletti I, Buommino E, Orlando M, Tufano MA, Baroni A.  Author information:  (1)Department of Experimental Medicine: Microbiology and Clinical Microbiology, Faculty of Medicine and Surgery, Second University of Naples, Via Costantinopoli  16, 80138 Naples, Italy.  Antimicrobial peptides of the beta-defensin family are expressed in all human epithelial tissues tested to date and have recently been the subject of vigorous  investigation. Their localization and characteristics support the hypothesis that these peptides play a role in mucosal and skin defense. The lipophilic yeast Malassezia furfur is a saprophyte found in normal human cutaneous flora. Malassezia furfur is not only a saprophyte, but is also associated with several diseases such as Malassezia folliculitis, seborrheic dermatitis and some forms of atopic dermatitis, psoriasis and confluent and reticulate papillomatosis. Little  is known about the mechanism by which M. furfur overcomes the natural barrier of  the skin. To further define the role of the beta-defensins in the innate human skin immune response, we analyzed the mRNA expression of two human beta-defensins HBD-1 and HBD-2 in human keratinocytes treated with M. furfur. In addition, we looked into how M. furfur of TGF-beta1 and IL-10, cytokines that interfere with the development of protective cell immunity, regulate their expression. Finally,  we examined the signal transduction mechanisms involved during M. furfur uptake.  Cultured human keratinocytes were treated with M. furfur. The mRNA and protein expression were analyzed, respectively, by reverse transcriptase polymerase chain reaction (RT-PCR) and Western blotting. Our data demonstrate that M. furfur does  not modify HBD-1 expression, whereas it up-regulates, via protein kinase C (PKC), the expression of HBD-2, TGFbeta-1 and IL-10 48 h after treatment. Our results suggest that beta-defensins are integral components of innate host defenses. They play an essential part in the resistance of the human skin surfaces against M. furfur uptake and other microbial invasion.  DOI: 10.1007/s00403-003-0445-0 	14963722
278. Ernst Schering Res Found Workshop. 2004;(44):15-26.	 Skin homing T cells.  Akdis M(1), Klunker S, Blaser K, Akdis CA.  Author information:  (1)Swiss Institute of Allergy and Asthma Research (SIAF), Obere Strasse 22, 7270  Davos, Switzerland.  	14579772
279. Curr Drug Targets Inflamm Allergy. 2003 Mar;2(1):81-94.	 Eotaxins and CCR3 receptor in inflammatory and allergic skin diseases: therapeutical implications.  Amerio P(1), Frezzolini A, Feliciani C, Verdolini R, Teofoli P, De Pità O, Puddu  P.  Author information:  (1)Department of Immunodermatology and Allergology, Istituto Dermopatico dell' Immacolata-IRCCS, Rome, Italy. p.amerio@idi.it  Cell migration is mediated by a group of chemotactic cytokines called chemokines: low molecular weight molecules that have been shown as important leukocyte chemical attractants to sites of inflammation and infection. Eotaxin-1, also called CCL11, was first described in 1994, as a highly specific eosinophils chemokine. Many cell types including lymphocytes, macrophages, bronchial smooth muscle cells, endothelial cells and eosinophils, are able to produce this chemokine, predominantly after cytokine stimulation, however little is known about its expression in human skin in vivo. Eotaxin-1 also regulates the chemiotaxis and, in some conditions, activation of basophils, mast cells and T lymphocytes. Chemokine receptors are named from their ligand families, thus the CC chemokine eotaxin-1 binds to the CCR3 receptor which is expressed on eosinophis, mast cells, Th2 type lymphocytes and even on keratinocytes. It seems  that eotaxin-1 is one of the most important cytokines involved in tissue inflammation playing a central role in the pathogenesis of allergic airway diseases (asthma and rhinitis), in inflammatory bowel disease and gastrointestinal allergic hypersensitivity and recently it has been proposed as a therapeutical target for these conditions. Our group has studied the role of eotaxin-1 in the pathogenesis of two skin conditions: dermatitis herpetiformis and AIDS-associated eosinophilic folliculitis, demonstrating that this chemokine, together with Th2 type cytokines (IL-13 and IL-4) is important in cell recruitment, inflammation and tissue damage; moreover eotaxin has proven to paly  an important role in other skin conditions such as, bullous pemphigoid, pemphigoid gestationis, atopic dermatitis and allergic drug reactions Recent advances in the understanding of eotaxin-1-mediated mechanisms of chemotaxis in allergic and inflammatory conditions may predict that therapeutic antagonism is achievable. This paper will focus on the role that eotaxin and its receptor play  in the pathogenetical mechanism in a number of dermatologic diseases, some of which, like atopic dermatitis, may benefit from the introduction of novel and more selective therapeutic options.  	14561178
280. J Dermatol Sci. 2003 Oct;33(1):31-40.	 Up-regulation of interleukin-13 receptor alpha1 on human keratinocytes in the skin of psoriasis and atopic dermatitis.  Wongpiyabovorn J(1), Suto H, Ushio H, Izuhara K, Mitsuishi K, Ikeda S, Nakao A, Okumura K, Ogawa H.  Author information:  (1)Department of Dermatology, Juntendo University School of Medicine, 2-1-1 Hongo, Bunkyo-ku, Tokyo 113-8421, Japan.  BACKGROUND: Interleukin (IL)-13 is a pleiotropic cytokine, which shares many biological functions with IL-4. The receptor subunits of IL-13 consist of IL-4Ralpha, IL-13Ralpha1 and IL-13Ralpha2. The regulatory mechanisms of the IL-13Ralpha expression in the keratinocytes of certain skin disease have not been known. OBJECTIVE: To clear the roles of IL-13 and the regulatory mechanisms of its receptor in atopic dermatitis (AD) and psoriasis. METHOD: The expression of IL-13Ralpha1 in the skin of AD and psoriasis was investigated by immunohistochemistry. The regulation of IL-13Ralpha mRNA in the skin and human primary keratinocyte (HPK) was investigated by quantitative PCR. The secretion of IL-6 and RANTES from HPK was measured by ELISA. RESULTS: The expression of IL-13Ralpha1 was more prominent on the suprabasal keratinocytes in the skin of AD and striking increase of staining was observed on all layers of keratinocyte in the skin of psoriasis. The mRNA of IL-13Ralpha1, but not of IL-13Ralpha2 was overexpressed in both skin of AD and psoriasis. In vitro experiment using HPK demonstrated that IFN-gamma, IL-13 but not IL-4 could  up-regulate the mRNA expression of IL-13Ralpha1. In contrast, IL-13Ralpha2 mRNA expression was up-regulated by IFN-gamma plus IL-4. Furthermore, the stimulation  of HPK with IFN-gamma plus IL-13 and/or IL-4 resulted in significant enhancement  of IL-6 and RANTES secretion. CONCLUSION: These findings indicate that IL-4 and IL-13 have different regulatory effects on the expression of IL-13Ralpha1 and alpha2, and the overexpression of IL-13Ralpha1 may play some roles in the pathogenesis of chronic stage of AD or psoriasis.  	14527737
281. Curr Opin Allergy Clin Immunol. 2003 Oct;3(5):353-8.	 Dendritic cells and atopic eczema/dermatitis syndrome.  von Bubnoff D(1), Koch S, Bieber T.  Author information:  (1)Department of Dermatology, Friedrich-Wilhelms-University, Bonn, Germany.  PURPOSE OF REVIEW: The manifestation of atopic eczema/dermatitis syndrome is believed to result from a complex interrelationship of environmental factors, pharmacological abnormalities, skin barrier defects, and immunological phenomena. Although we are only beginning to understand the molecular basis of this disease, much progress has been made in defining key events leading to the manifestation of allergic inflammation. Here, we review recent findings that underscore the importance of dendritic cells as being central to shape these proinflammatory responses. RECENT FINDINGS: Evidence for a differential regulation of the high affinity receptor for IgE, Fc epsilon RI, on the surface of atopic dendritic cells compared with non-atopic dendritic cells became apparent. In atopic donors, in contrast to non-atopic donors, the intracellular expression of the gamma-chains of Fc epsilon RI is sufficient, thus leading to the assembly with the alpha-chain and surface expression of the receptor. This finding is of considerable interest  for an understanding of the pathophysiology of IgE-mediated dendritic cell functions in atopic eczema/dermatitis syndrome. In addition, it has been shown that keratinocytes from the epidermal skin of individuals with atopic eczema/dermatitis syndrome express human thymic stromal lymphopoietin, which activates dendritic cells to attract T helper type 2 cells into the skin. Furthermore, these activated dendritic cells prime naïve T cells into T helper type 2 cells. SUMMARY: The past few years have seen a remarkable process of refocusing in atopy. Dendritic cells in particular have been at the centre of this process. It  has become unequivocally clear that these cells have the power of shaping the allergic response.  DOI: 10.1097/01.all.0000092605.76804.63 	14501434
282. J Immunol. 2003 Sep 15;171(6):3262-9.	 Cytokine milieu of atopic dermatitis, as compared to psoriasis, skin prevents induction of innate immune response genes.  Nomura I(1), Goleva E, Howell MD, Hamid QA, Ong PY, Hall CF, Darst MA, Gao B, Boguniewicz M, Travers JB, Leung DY.  Author information:  (1)Department of Pediatrics, National Jewish Medical and Research Center, Denver, CO 80206, USA.  Atopic dermatitis (AD) and psoriasis are the two most common chronic skin diseases. However patients with AD, but not psoriasis, suffer from frequent skin  infections. To understand the molecular basis for this phenomenon, skin biopsies  from AD and psoriasis patients were analyzed using GeneChip microarrays. The expression of innate immune response genes, human beta defensin (HBD)-2, IL-8, and inducible NO synthetase (iNOS) was found to be decreased in AD, as compared with psoriasis, skin (HBD-2, p = 0.00021; IL-8, p = 0.044; iNOS, p = 0.016). Decreased expression of the novel antimicrobial peptide, HBD-3, was demonstrated  at the mRNA level by real-time PCR (p = 0.0002) and at the protein level by immunohistochemistry (p = 0.0005). By real-time PCR, our data confirmed that AD,  as compared with psoriasis, is associated with elevated skin production of Th2 cytokines and low levels of proinflammatory cytokines such as TNF-alpha, IFN-gamma, and IL-1beta. Because HBD-2, IL-8, and iNOS are known to be inhibited  by Th2 cytokines, we examined the effects of IL-4 and IL-13 on HBD-3 expression in keratinocyte culture in vitro. We found that IL-13 and IL-4 inhibited TNF-alpha- and IFN-gamma-induced HBD-3 production. These studies indicate that decreased expression of a constellation of antimicrobial genes occurs as the result of local up-regulation of Th2 cytokines and the lack of elevated amounts of TNF-alpha and IFN-gamma under inflammatory conditions in AD skin. These observations could explain the increased susceptibility of AD skin to microorganisms, and suggest a new fundamental rule that may explain the mechanism for frequent infection in other Th2 cytokine-mediated diseases.  	12960356
283. J Immunol. 2003 Jul 15;171(2):1078-84.	 A second step of chemotaxis after transendothelial migration: keratinocytes undergoing apoptosis release IFN-gamma-inducible protein 10, monokine induced by  IFN-gamma, and IFN-gamma-inducible alpha-chemoattractant for T cell chemotaxis toward epidermis in atopic dermatitis.  Klunker S(1), Trautmann A, Akdis M, Verhagen J, Schmid-Grendelmeier P, Blaser K,  Akdis CA.  Author information:  (1)Swiss Institute of Allergy and Asthma Research, Davos, Switzerland.  Activation and skin-selective homing of T cells and their effector functions in the skin represent sequential immunological events in the pathogenesis of atopic  dermatitis (AD). Apoptosis of keratinocytes, induced mainly by T cells and mediated by IFN-gamma and Fas, is the essential pathogenetic event in eczema formation. Keratinocyte apoptosis appears as activation-induced cell death in AD. By IFN-gamma stimulation, chemokines such as IFN-gamma-inducible protein 10, monokine induced by IFN-gamma, and IFN-gamma-inducible alpha-chemoattractant are  strongly up-regulated in keratinocytes. These chemokines attract T cells bearing  the specific receptor CXCR3, which is highly expressed on T cells isolated from skin biopsies of AD patients. Accordingly, an increased T cell chemotaxis was observed toward IFN-gamma-treated keratinocytes. Supporting these findings, enhanced IFN-gamma-inducible protein 10, monokine induced by IFN-gamma, and IFN-gamma-inducible alpha-chemoattractant expression was observed in lesional AD  skin by immunohistochemical staining. These results indicate a second step of chemotaxis inside the skin after transendothelial migration of the inflammatory cells. Keratinocytes undergoing apoptosis in acute eczematous lesions release chemokines that attract more T cells toward the epidermis, which may further augment the inflammation and keratinocyte apoptosis.  	12847282
284. Am J Pathol. 2003 Jul;163(1):303-12.	 Blockade of the EGF receptor induces a deranged chemokine expression in keratinocytes leading to enhanced skin inflammation.  Mascia F(1), Mariani V, Girolomoni G, Pastore S.  Author information:  (1)Laboratory of Immunology, Istituto Dermopatico dell'Immacolata, Istituto di Ricovero e Cura a Carottere Scientifico, Rome, Italy.  During inflammatory skin disorders such as psoriasis, atopic dermatitis, and allergic contact dermatitis, epidermal keratinocytes overexpress large amounts of soluble epidermal growth factor receptor ligands in response to tumor necrosis factor alpha and interferon gamma. These cytokines also promote de novo synthesis of numerous chemokines, including CCL2/MCP-1, CCL5/RANTES, CXCL10/IP-10, and CXCL8/IL-8, in turn responsible for the recruitment of different leukocyte populations. This study demonstrates that stimulation of EGFR down-regulates CCL2, CCL5, and CXCL10, while it increases CXCL8 expression in keratinocytes. Conversely, EGFR signaling blockade produces opposite effects, with increased CCL2, CCL5, and CXCL10, and reduced CXCL8 expression. In a mouse model of contact hypersensitivity, a single topical administration of a selective EGFR kinase blocker before antigen challenge results in a markedly enhanced immune response with increased chemokine expression and heavier inflammatory cell infiltrate. Targeting EGFR on epithelial cells may thus have profound impact on inflammatory  and immune responses.  DOI: 10.1016/S0002-9440(10)63654-1  PMCID: PMC1868171	12819035
285. Int Immunol. 2003 May;15(5):611-21.	 Persistent secretion of IL-18 in the skin contributes to IgE response in mice.  Nakano H(1), Tsutsui H, Terada M, Yasuda K, Matsui K, Yumikura-Futatsugi S, Yamanaka K, Mizutani H, Yamamura T, Nakanishi K.  Author information:  (1)Department of Immunology & Medical Zoology, Second Department of Surgery, Hyogo College of Medicine, Nishinomiya 663-8501, Japan. nakaken@hyo-med.ac.jp  After exposure of the skin to microbes, the host develops skin-specific inflammation and an acquired immune response, in which keratinocytes (KC) and Langerhans cells play critical roles respectively. We established two animal models. (i) We examined the importance of KC-derived IL-18 for the systemic IgE response by using a skin transplantation model. As previously reported, transgenic mice (KCASP1Tg), that over-express caspase-1 in their KC, display high serum levels of IgE, and spontaneously develop chronic dermatitis by production of IL-18 and IL-1beta. We examined the capacity of transplantation of cutaneous lesions from KCASP1Tg to induce IgE production in wild-type or mutant mice with a syngeneic background. Transplantation of active cutaneous lesions, that expressed high levels of IL-18 and IL-1beta, induced long-lasting IgE production in wild-type mice without elevation of circulating IL-18 and IL-1beta. Furthermore,  IL-18R-, CD4- or stat6-deficient mice transplanted with the lesions did not produce IgE, indicating that this IgE response is initiated by IL-18, and dependent on host-derived CD4(+) T cells and stat6. (ii) We investigated IL-18 secretion from KC upon stimulation with microbe products. Freshly isolated KC from wild-type mice secreted IL-18 in response to Protein A purified from Cowan 1 strain of Staphylococcus aureus (SpA), which often exacerbates human skin diseases, including atopic dermatitis. Cutaneous application of SpA increased serum levels of IL-18 and IgE. These results indicate that local accumulation of  IL-18 triggers systemic IgE responses without exposure to antigen.  	12697661
286. J Dermatol. 2003 Jan;30(1):26-32.	 Demonstration of TARC and CCR4 mRNA expression and distribution using in situ RT-PCR in the lesional skin of atopic dermatitis.  Zheng X(1), Nakamura K, Furukawa H, Nishibu A, Takahashi M, Tojo M, Kaneko F, Kakinuma T, Tamaki K.  Author information:  (1)Department of Dermatology, Fukushima Medical University School of Medicine, Japan.  Thymus- and activation-regulated chemokine (TARC/CCL17) and its receptor, CC chemokine receptor 4 (CCR4), have been proven to be involved in a number of allergic diseases, especially atopic dermatitis (AD). The purpose of this study was to examine the expression and distribution of TARC and CCR4 mRNAs in samples  of AD (n=15, acute lesions 8, chronic lesions 7) and normal skin (n=6). The expression and distribution of TARC and CCR4 mRNAs were detected with the in situ reverse transcription (RT) -polymerase chain reaction (PCR) technique. TARC mRNA  was expressed in epidermal keratinocytes, dermal endothelial cells and infiltrating cells. CCR4 mRNA was expressed in dermal endothelial cells and infiltrating cells. In acute AD lesional skin, there were more positive cells, and the staining intensity was stronger than in chronic lesions (p<0.05). The distribution of positive cells was as follows: In the epidermis, keratinocytes in the basal layer showed the strongest staining, and keratinocytes in the spinous layer showed moderate staining; the superficial area showed faint staining. In the dermis, infiltrating cells located in the superficial area of the dermis showed the strongest staining, positive staining intensity became weaker and the  percentage of positive cells became less as the location became deeper. There were no positive cells in normal skin. These data further substantiate the role of TARC/CCR4 in the pathogenesis of AD.  	12598706
287. J Invest Dermatol. 2002 Nov;119(5):1183-8.	 Vasoactive intestinal peptide and cytokines enhance stem cell factor production from epidermal keratinocytes DJM-1.  Kakurai M(1), Fujita N, Kiyosawa T, Inoue T, Ishibashi S, Furukawa Y, Demitsu T,  Nakagawa H.  Author information:  (1)Department of Dermatology, Center for Molecular Medicine, Jichi Medical School, School of Medicine, Tochigi, Japan. kwackie@jichi.ac.jp  Stem cell factor can induce mast cell proliferation and melanocyte activation. Vasoactive intestinal peptide has been suggested to play a part in inflammatory dermatoses, such as atopic dermatitis. The aim of this study was to investigate the possible role of stem cell factor in atopic dermatitis by analyzing epidermal stem cell factor production induced by vasoactive intestinal peptide and cytokines. Full-length type stem cell factor transcript was detected in normal human epidermal keratinocytes, and a human epidermal keratinocyte cell line DJM-1, as well as normal human dermal fibroblasts, using reverse transcription-polymerase chain reaction. Spliced-type stem cell factor transcript was detected in both DJM-1 cells and normal human epidermal keratinocytes. Western blot analysis with stem cell factor antibody revealed a protein of the known molecular size of membrane-bound stem cell factor in the lysates of all three cell types. Stem cell factor immunoreactivity was found in the cytoplasm and the membrane of both DJM-1 cells and normal human epidermal keratinocytes using confocal laser scanning microscope. We examined the effects of vasoactive intestinal peptide and cytokines on stem cell factor production of DJM-1 cells using enzyme-linked immunosorbent assays. Stem cell factor contents significantly increased in culture supernatants of DJM-1 cells treated with 1000 nm vasoactive  intestinal peptide and/or cytokines, including interleukins 4 and 13, tumor necrosis factor-alpha, and interferon-gamma. Overall, these results suggest that  several inflammatory cytokines (T helper 1 and 2) and vasoactive intestinal peptide from mast cells and nerve endings are capable of inducing stem cell factor production from epidermal keratinocytes in atopic dermatitis.  DOI: 10.1046/j.1523-1747.2002.19506.x 	12445210
288. J Mol Med (Berl). 2002 Oct;80(10):678-84. Epub 2002 Sep 19.	 Dynamic alteration of human beta-defensin 2 localization from cytoplasm to intercellular space in psoriatic skin.  Huh WK(1), Oono T, Shirafuji Y, Akiyama H, Arata J, Sakaguchi M, Huh NH, Iwatsuki K.  Author information:  (1)Department of Dermatology, Okayama University Graduate School of Medicine and  Dentistry, 2-5-1 Shikata-cho, Okayama 700-8558, Japan. wookkang@cc.okayama-u.ac.jp  Defensins are cationic antimicrobial peptides with a broad spectrum. Recently human beta-defensin 2 (hBD-2) has been isolated from psoriatic skin; however, its exact localization and fate have not been fully understood. We studied the distribution pattern of hBD-2 in skin tissues of psoriasis and other inflammatory skin diseases. In the upper spinous and granular layer of psoriasis vulgaris hBD-2 was present in the cytoplasm. In the horny layer the positive signals were  in a basket-weave pattern, indicating possible accumulation of hBD-2 in the intercellular space. The similar pattern of hBD-2 distribution was observed in the lesions of nummular eczema and atopic dermatitis. hBD-2 was not detected in the section of normal elbow and knee skin. When isolated psoriatic scales were stained, hBD-2 was detected in a wrapping paper-like distribution pattern surrounding the corneocytes. In horny layer of psoriatic skin hBD-2 was closely associated or colocalized with elafin, which is known to be in extracellular space, as demonstrated by double staining. Western blot analysis using cultured human keratinocytes detected hBD-2 with an expected size in the conditioned medium and in the cell lysates when stimulated with 5% FCS or IL-alpha. These results indicate that hBD-2 was synthesized and remained in cytoplasm in the upper spinous and granular layer, and then secreted into intercellular space in the horny layer. This dynamic change in hBD-2 distribution in epidermis is certainly relevant to function as an innate host defense mechanism against invading micro-organisms.  DOI: 10.1007/s00109-002-0373-z 	12395153
